Age, LivPrb-1 , LivPrb-2 ,
25, 0.9996780577500000 , 0.9996780577500000 ,
26, 0.9993693166886550 , 0.9996854521000000 ,
27, 0.9990674850894520 , 0.9996875408500000 ,
28, 0.9987677766421960 , 0.9996853150000000 ,
29, 0.9984656420702630 , 0.9996785069000000 ,
30, 0.9981579807000770 , 0.9996689358000000 ,
31, 0.9978420682071540 , 0.9996565644000000 ,
32, 0.9975169377795010 , 0.9996428794500000 ,
33, 0.9971818105714760 , 0.9996283423000000 ,
34, 0.9968355724495390 , 0.9996132574000000 ,
35, 0.9964796576455840 , 0.9995989959000000 ,
36, 0.9961160670598160 , 0.9995859756000000 ,
37, 0.9957434690752150 , 0.9995703302000000 ,
38, 0.9953600697079620 , 0.9995514400000000 ,
39, 0.9949623700848350 , 0.9995273860000000 ,
40, 0.9945458121855220 , 0.9994970016000000 ,
41, 0.9941028001839320 , 0.9994584825500000 ,
42, 0.9936270649568060 , 0.9994111545000000 ,
43, 0.9931107883217400 , 0.9993529866000000 ,
44, 0.9925462783778160 , 0.9992834942000000 ,
45, 0.9919262729980560 , 0.9992031828000000 ,
46, 0.9912424554278500 , 0.9991104650000000 ,
47, 0.9904885740013050 , 0.9990071366500000 ,
48, 0.9896563074653850 , 0.9988924499000000 ,
49, 0.9887391850057580 , 0.9987678620000000 ,
50, 0.9876861683533500 , 0.9985726876064510 ,
51, 0.9865209646623350 , 0.9984064863073330 ,
52, 0.9852329270578860 , 0.9982229056973510 ,
53, 0.9838050352960460 , 0.9980191215879830 ,
54, 0.9822214193936810 , 0.9977920443293450 ,
55, 0.9804663626548990 , 0.9975390703205120 ,
56, 0.9785224315706420 , 0.9972548376270680 ,
57, 0.9763707627331510 , 0.9969346406931140 ,
58, 0.9739910552340450 , 0.9965734024352100 ,
59, 0.9713603803491530 , 0.9961637268479460 ,
60, 0.9684525724292670 , 0.9956998976815160 ,
61, 0.9652376617846320 , 0.9951748715434490 ,
62, 0.9616833067830040 , 0.9945827449522830 ,
63, 0.9577542351853630 , 0.9939176582141080 ,
64, 0.9534140334660320 , 0.9931745503759500 ,
65, 0.9486265948324940 , 0.9923473330500000 ,
66, 0.9433594592873360 , 0.9914375292937090 ,
67, 0.9375774443712310 , 0.9904286577865410 ,
68, 0.9312425045054460 , 0.9893110791764850 ,
69, 0.9243161687410630 , 0.9880725609167480 ,
70, 0.9167569375973010 , 0.9867013071250220 ,
71, 0.9085205582715500 , 0.9851850557437250 ,
72, 0.8995571401044470 , 0.9835079396304800 ,
73, 0.8898146848705650 , 0.9816540932420160 ,
74, 0.8792360682069550 , 0.9796041606350760 ,
75, 0.8677602385024720 , 0.9773342683210430 ,
76, 0.8553208040942650 , 0.9748160454100060 ,
77, 0.8418415076946660 , 0.9720097482143110 ,
78, 0.8272438067817920 , 0.9688732313061000 ,
79, 0.8114455381996840 , 0.9653555723257750 ,
80, 0.7943595681963190 , 0.9613956119715550 ,
81, 0.7757731980085030 , 0.9566543316000000 ,
82, 0.7557458944367140 , 0.9516702198000000 ,
83, 0.7341881296069970 , 0.9460307282000000 ,
84, 0.7110207026874730 , 0.9396581325000000 ,
85, 0.6861803862398680 , 0.9324769603500000 ,
86, 0.6594642408017060 , 0.9243958435500000 ,
87, 0.6306837444988990 , 0.9153186292000000 ,
88, 0.5999660386638600 , 0.9051424238500000 ,
89, 0.5671560435577650 , 0.8937390734000000 ,
90, 0.5325101380663770 , 0.8809990408000000 ,
91, 0.4960808117033970 , 0.8672236503000000 ,
92, 0.4584709485484780 , 0.8526429784000000 ,
93, 0.4199069675387210 , 0.8373451625000000 ,
94, 0.3811174276837740 , 0.8214092554000000 ,
95, 0.3423729254596030 , 0.8048207839000000 ,
96, 0.3036439742636060 , 0.7875127366000000 ,
97, 0.2655308652244850 , 0.7695251022000000 ,
98, 0.2284002661713450 , 0.7508401394500000 ,
99, 0.1931210703176360 , 0.7314797094500000 ,
100, 0.1602585475571680 , 0.7115730165000000 ,
101, 0.1302922578065600 , 0.6912929815000000 ,
102, 0.1034316194949970 , 0.6709198783500000 ,
103, 0.0801484179388146 , 0.6506541512000000 ,
104, 0.0605095503112916 , 0.6306249816000000 ,
105, 0.0444203161418172 , 0.6110246415500000 ,
106, 0.0315521034609923 , 0.5919783718000000 ,
107, 0.0216917672762102 , 0.5736069564500000 ,
108, 0.0143984867106738 , 0.5560204384000000 ,
109, 0.0092029978347472 , 0.5392740995000000 ,
110, 0.0056208701693171 , 0.5234773421000000 ,
111, 0.0032947917854527 , 0.5125052080000000 ,
112, 0.0018510329998408 , 0.5047962055000000 ,
113, 0.0010008300876447 , 0.5009250000000000 ,
114, 0.0005195241440766 , 0.5004500000000000 ,
115, 0.0002597620720383 , 0.5000000000000000 ,
116, 0.0001298810360191 , 0.5000000000000000 ,
117, 0.0000649405180096 , 0.5000000000000000 ,
118, 0.0000324702590048 , 0.5000000000000000 ,
119, 0.0000162351295024 , 0.5000000000000000 ,
120, -   , -   ,
